strategy,window,basket_regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
no_new_entries_in_down,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-4.58,-11.55,-0.4,-4.33,20.0,7.65,-40.85,-12.23
bull_delay_ma20,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,40.24,-26.33,1.53,25.89,35.5,7.65,-40.85,32.59
bull_delay_ma55,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,36.68,-33.18,1.11,23.91,51.5,7.65,-40.85,29.03
adaptive_ma20_no_down,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-4.58,-11.55,-0.4,-4.33,20.0,7.65,-40.85,-12.23
adaptive_ma55_no_down,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-4.58,-11.55,-0.4,-4.33,20.0,7.65,-40.85,-12.23
adaptive_shou_no_down,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-4.58,-11.55,-0.4,-4.33,20.0,7.65,-40.85,-12.23
bull_no_sell_until_ma20,2024-06-12_2025-06-23,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,3,33.33,33.03,-28.6,1.16,13.2,39.7,7.65,-40.85,25.38
base_combo,2024-09-04_2025-09-15,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,0.0,-7.4,-19.81,-0.37,-3.52,40.5,-15.41,-40.85,8.01
no_new_entries_in_down,2024-09-04_2025-09-15,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,1,0.0,-4.58,-11.55,-0.4,-4.33,20.0,-15.41,-40.85,10.83
bull_delay_ma20,2024-09-04_2025-09-15,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,0.0,-6.63,-19.81,-0.33,-3.11,42.0,-15.41,-40.85,8.78
bull_delay_ma55,2024-09-04_2025-09-15,basket_neutral,300474,景嘉微,算力芯片/GPU/CPU设计,2,50.0,-2.25,-19.81,-0.11,-0.81,62.5,-15.41,-40.85,13.16
