strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
obs_then_wait_ma20_15d,覆铜板CCL,60,56,122,59.02,35,26,3.75,-16.32,0.28,-7.67
obs_then_wait_ma20_cxhzb_15d,存储芯片,67,60,110,44.55,36,27,3.18,-15.81,0.28,-10.63
obs_then_wait_rs20_basket_5d,存储芯片,67,56,104,62.5,40,32,2.99,-13.61,0.28,-1.29
obs_then_wait_ma20_rs20_segment_15d,光模块,100,88,154,54.55,62,28,7.81,-17.08,0.27,-46.38
obs_then_wait_ma20_5d,算力/IDC/算力租赁,80,79,185,53.51,51,36,6.02,-20.77,0.27,-2.75
obs_direct,半导体材料,20,18,35,71.43,11,7,4.65,-14.85,0.27,-7.66
obs_direct_wait0,半导体材料,20,18,35,71.43,11,7,4.65,-14.85,0.27,-7.66
obs_then_wait_caopan_10d,存储芯片,67,59,114,57.02,43,34,3.71,-15.25,0.27,3.6
obs_then_wait_caopan_15d,存储芯片,67,61,124,57.26,43,34,3.71,-15.25,0.27,3.6
obs_then_wait_ma20_rs20_segment_15d,服务器电源,60,59,109,56.88,33,28,5.3,-17.39,0.26,-5.38
obs_then_wait_rs20_segment_10d,交换机/网络设备,66,66,130,59.23,41,29,4.94,-18.55,0.26,-7.39
obs_then_wait_rs20_segment_15d,交换机/网络设备,66,66,134,58.21,41,27,4.94,-18.91,0.26,-8.88
obs_then_wait_caopan_10d,AI服务器,80,69,125,59.2,44,34,3.71,-13.65,0.26,-12.79
obs_then_wait_ma20_10d,覆铜板CCL,60,55,117,57.27,34,25,3.55,-15.61,0.26,-8.09
obs_then_wait_rs20_segment_15d,覆铜板CCL,60,54,96,59.37,36,24,2.95,-15.01,0.26,-6.89
obs_then_wait_rs20_segment_10d,覆铜板CCL,60,54,87,55.17,35,24,2.92,-14.38,0.26,-6.89
obs_then_wait_rs20_segment_5d,液冷/散热,77,65,114,56.14,47,27,5.48,-21.11,0.25,-30.24
obs_direct,PCB,66,64,131,48.09,38,19,3.79,-18.37,0.25,-34.44
obs_direct_wait0,PCB,66,64,131,48.09,38,19,3.79,-18.37,0.25,-34.44
obs_then_wait_muma_10d,HBM,40,39,91,58.24,30,18,7.47,-21.18,0.24,-10.4
obs_then_wait_muma_15d,HBM,40,39,91,58.24,30,18,7.47,-21.18,0.24,-10.4
obs_then_wait_muma_5d,HBM,40,39,91,58.24,30,18,7.47,-21.18,0.24,-10.4
obs_then_wait_rs20_basket_15d,AIPC/端侧AI,40,40,85,41.18,23,33,6.18,-21.12,0.24,17.46
obs_then_wait_muma_5d,算力/IDC/算力租赁,80,80,202,50.0,42,36,5.09,-22.85,0.24,-3.44
obs_then_wait_ma20_rs20_segment_15d,PCB,66,59,96,51.04,38,21,7.29,-15.21,0.23,-34.29
obs_then_wait_caopan_10d,交换机/网络设备,66,63,120,63.33,39,29,2.44,-17.33,0.23,-3.21
obs_then_wait_caopan_5d,存储芯片,67,52,76,61.84,37,34,1.81,-12.94,0.23,1.37
obs_then_wait_ma20_5d,光模块,100,91,179,51.95,56,28,5.7,-17.82,0.22,-50.01
obs_then_wait_ma20_10d,算力/IDC/算力租赁,80,80,193,52.33,49,37,5.61,-21.46,0.22,-2.75
obs_then_wait_rs20_segment_5d,交换机/网络设备,66,62,111,60.36,44,27,4.63,-17.12,0.22,-7.42
obs_then_wait_rs20_segment_15d,存储芯片,67,57,121,57.02,38,24,3.67,-16.98,0.22,-10.39
obs_then_wait_rs20_basket_15d,存储芯片,67,60,128,57.03,41,32,2.99,-15.73,0.22,-6.15
obs_then_wait_rs20_segment_5d,存储芯片,67,54,92,60.87,37,30,2.95,-15.42,0.22,-4.8
obs_then_wait_muma_10d,半导体材料,20,18,35,71.43,11,9,3.88,-14.85,0.21,-8.61
obs_then_wait_muma_15d,半导体材料,20,18,35,71.43,11,9,3.88,-14.85,0.21,-8.61
obs_then_wait_muma_5d,半导体材料,20,18,35,71.43,11,9,3.88,-14.85,0.21,-8.61
obs_then_wait_ma20_15d,云计算,40,40,115,51.3,24,31,3.5,-21.12,0.21,21.02
obs_then_wait_rs20_basket_10d,存储芯片,67,58,125,56.8,38,31,2.33,-15.25,0.21,-1.42
obs_then_wait_ma20_5d,半导体材料,20,18,32,65.62,11,8,1.7,-15.91,0.21,-7.42
obs_then_wait_ma20_rs20_segment_10d,光模块,100,86,139,52.52,59,28,7.81,-17.01,0.2,-49.06
obs_then_wait_caopan_10d,PCB,66,59,98,56.12,42,22,6.72,-11.76,0.2,-41.59
obs_direct,HBM,40,39,90,54.44,29,16,6.52,-21.18,0.2,-13.75
obs_direct_wait0,HBM,40,39,90,54.44,29,16,6.52,-21.18,0.2,-13.75
obs_then_wait_cxhzb_10d,存储芯片,67,52,79,54.43,38,29,5.01,-13.03,0.2,-10.56
obs_then_wait_caopan_15d,光模块,100,90,171,57.31,62,33,10.06,-17.14,0.19,-44.46
obs_then_wait_rs20_basket_5d,交换机/网络设备,66,61,98,55.1,37,28,2.56,-17.63,0.19,-6.01
obs_then_wait_ma20_cxhzb_rs20_segment_15d,服务器电源,60,48,70,55.71,33,26,4.13,-14.93,0.18,-4.85
obs_then_wait_ma20_15d,算力/IDC/算力租赁,80,80,197,51.27,47,35,3.81,-21.46,0.18,-4.38
obs_then_wait_ma20_rs20_segment_15d,连接器,40,38,68,61.76,25,19,3.77,-12.37,0.18,-0.83
obs_then_wait_ma20_cxhzb_15d,CPO,40,33,60,68.33,25,9,3.5,-14.54,0.18,-39.19
obs_then_wait_ma20_10d,大模型/AI应用/AIGC,80,77,203,42.86,44,54,3.33,-24.02,0.18,7.24
obs_then_wait_rs20_segment_10d,大模型/AI应用/AIGC,80,77,179,45.81,44,54,3.06,-22.18,0.18,11.64
obs_then_wait_rs20_segment_10d,HBM,40,38,75,57.33,25,15,3.0,-25.18,0.18,-9.78
obs_then_wait_ma20_rs20_segment_5d,算力/IDC/算力租赁,80,77,133,48.87,45,25,2.69,-16.68,0.18,-7.95
obs_then_wait_ma20_5d,大模型/AI应用/AIGC,80,77,183,43.72,44,52,2.46,-22.09,0.18,6.67
obs_then_wait_caopan_10d,光模块,100,87,162,56.79,59,33,6.72,-17.14,0.17,-44.46
obs_then_wait_rs20_segment_10d,AIPC/端侧AI,40,40,88,52.27,24,28,3.69,-21.27,0.17,15.56
obs_then_wait_ma20_10d,高速铜缆/铜连接,80,77,164,58.54,47,35,3.59,-19.92,0.17,-5.33
obs_then_wait_rs20_segment_10d,连接器,40,39,66,65.15,22,19,2.2,-9.95,0.17,-1.94
obs_then_wait_rs20_segment_5d,连接器,40,37,60,68.33,22,20,1.77,-9.95,0.17,-1.4
obs_then_wait_ma20_rs20_segment_15d,液冷/散热,77,71,148,53.38,43,24,3.94,-23.02,0.16,-20.69
obs_then_wait_rs20_segment_15d,连接器,40,39,71,63.38,21,18,2.64,-12.61,0.16,-2.23
obs_then_wait_ma20_rs20_segment_15d,算力/IDC/算力租赁,80,80,170,50.0,45,30,2.13,-20.82,0.16,-7.01
obs_then_wait_muma_5d,大模型/AI应用/AIGC,80,77,209,45.93,42,52,2.98,-23.68,0.15,9.07
obs_then_wait_ma20_rs20_segment_10d,算力/IDC/算力租赁,80,79,159,49.06,44,28,2.67,-20.38,0.15,-7.44
obs_then_wait_ma20_cxhzb_15d,液冷/散热,77,73,136,44.12,40,20,3.16,-19.69,0.14,-19.36
obs_then_wait_ma20_10d,云计算,40,39,108,49.07,22,31,3.09,-21.12,0.14,21.02
obs_then_wait_muma_10d,大模型/AI应用/AIGC,80,79,226,46.46,43,52,2.98,-23.96,0.14,9.38
obs_then_wait_muma_15d,大模型/AI应用/AIGC,80,79,226,46.46,43,52,2.98,-23.96,0.14,9.38
obs_then_wait_rs20_segment_15d,大模型/AI应用/AIGC,80,77,189,45.5,43,53,2.58,-22.18,0.14,11.24
obs_then_wait_rs20_basket_5d,AI服务器,80,65,107,56.07,40,37,0.99,-14.03,0.14,-3.9
obs_then_wait_cxhzb_15d,光模块,100,93,163,48.47,57,28,5.12,-20.63,0.13,-43.44
obs_then_wait_ma20_15d,AIPC/端侧AI,40,40,104,52.88,23,33,2.54,-23.28,0.13,14.73
obs_then_wait_caopan_15d,HBM,40,39,78,61.54,22,16,2.53,-19.41,0.13,-7.35
obs_then_wait_rs20_segment_15d,AIPC/端侧AI,40,40,97,50.52,23,28,2.37,-21.53,0.13,13.32
obs_then_wait_ma20_5d,AIPC/端侧AI,40,36,82,59.76,24,33,3.4,-21.12,0.12,15.88
obs_then_wait_ma20_10d,AIPC/端侧AI,40,39,101,54.46,23,33,2.62,-22.61,0.12,15.28
obs_then_wait_rs20_segment_15d,HBM,40,39,82,57.32,24,15,2.53,-25.18,0.12,-9.52
obs_then_wait_rs20_segment_5d,大模型/AI应用/AIGC,80,77,157,47.77,42,53,1.79,-21.73,0.11,11.12
obs_then_wait_caopan_10d,算力/IDC/算力租赁,80,78,154,53.9,45,35,1.76,-18.39,0.11,-4.49
obs_then_wait_caopan_15d,算力/IDC/算力租赁,80,80,170,50.59,44,34,1.74,-18.4,0.11,-4.49
obs_then_wait_caopan_15d,连接器,40,39,73,56.16,23,19,0.98,-11.43,0.11,-0.83
obs_then_wait_ma20_rs20_segment_15d,HBM,40,39,80,60.0,25,14,2.45,-23.55,0.1,-8.54
obs_then_wait_ma20_5d,云计算,40,39,85,48.24,20,29,1.44,-15.36,0.1,17.23
obs_then_wait_ma20_10d,半导体材料,20,18,33,63.64,10,7,0.85,-15.91,0.1,-7.42
