strategy,window,regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
control_tianma_fixed20,2024-12-06_2025-12-16,up_20_to_80pct,300223,北京君正,存储芯片,1,100.0,5.08,-5.79,0.88,5.36,20.0,36.93,-34.8,-31.85
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,up_20_to_80pct,300223,北京君正,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,79.64,-19.76,-79.64
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,up_20_to_80pct,300223,北京君正,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,79.64,-19.76,-79.64
control_tianma_fixed20,2025-03-11_2026-03-20,up_20_to_80pct,300223,北京君正,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,79.64,-19.76,-79.64
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,23.12,-8.25,2.8,23.44,25.0,172.94,-29.32,-149.82
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,23.12,-8.25,2.8,23.44,25.0,172.94,-29.32,-149.82
control_tianma_fixed20,2025-06-10_2026-06-18,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,27.6,-3.68,7.51,27.93,20.0,172.94,-29.32,-145.34
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,23.12,-8.25,2.8,23.44,25.0,279.38,-29.32,-256.26
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,23.12,-8.25,2.8,23.44,25.0,279.38,-29.32,-256.26
control_tianma_fixed20,2025-06-24_2026-07-03,bull_80pct_plus,300223,北京君正,存储芯片,1,100.0,27.6,-3.68,7.51,27.93,20.0,279.38,-29.32,-251.78
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,301308,江波龙,存储芯片,3,66.67,41.2,-24.83,1.66,9.11,39.7,0.54,-35.95,40.66
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,flat_0_to_20pct,301308,江波龙,存储芯片,2,100.0,45.41,-23.02,1.97,21.23,41.0,0.54,-35.95,44.87
control_tianma_fixed20,2024-06-12_2025-06-23,flat_0_to_20pct,301308,江波龙,存储芯片,2,50.0,7.04,-13.95,0.5,5.21,20.0,0.54,-35.95,6.5
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,up_20_to_80pct,301308,江波龙,存储芯片,3,66.67,37.71,-10.31,3.66,12.56,26.3,26.43,-35.95,11.28
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,up_20_to_80pct,301308,江波龙,存储芯片,1,100.0,29.83,-7.05,4.23,30.17,33.0,26.43,-35.95,3.4
control_tianma_fixed20,2024-09-04_2025-09-15,up_20_to_80pct,301308,江波龙,存储芯片,1,100.0,22.51,-5.05,4.46,22.83,20.0,26.43,-35.95,-3.92
