date,basket_index,ma60,ret60,bull,down,up
2025-04-29,1.322297798899801,1.4934488376145616,-0.12614201432238892,False,True,False
2025-04-30,1.350718509304562,1.4920573676352755,-0.058212110073035395,False,True,False
2025-05-06,1.4121282182861874,1.4919233923063355,-0.005660264757073041,False,True,False
2025-05-07,1.3971874677838085,1.4907986235715756,-0.04607587960909276,False,True,False
2025-05-08,1.4275905580256363,1.489498606609072,-0.05180755458865116,False,True,False
2025-05-09,1.3915506774494601,1.4871002067681305,-0.09372076783793393,False,True,False
2025-05-12,1.4176352104895116,1.4853072588326321,-0.0705324046889374,False,True,False
2025-05-13,1.4098806260558832,1.4826317908054312,-0.10222057534843854,False,True,False
2025-05-14,1.4178215883178475,1.4806100462511813,-0.07881398445572596,False,True,False
2025-05-15,1.3667690938092292,1.4775867230562048,-0.11717031666555167,False,True,False
2025-05-16,1.3707132679506118,1.4734748673388058,-0.15253344197120433,False,True,False
2025-05-19,1.3636472821028074,1.4700137526679569,-0.13216127317268522,False,True,False
2025-05-20,1.3709742059025634,1.465996556974681,-0.14952286123416503,False,True,False
2025-05-21,1.3552644330981714,1.4616558014820475,-0.16119561543643124,False,True,False
2025-05-22,1.3443523766085967,1.4554522105436123,-0.21683702162476892,False,True,False
2025-05-23,1.316895044698851,1.4486432179974846,-0.23677487015011656,False,True,False
2025-05-26,1.3375822794736787,1.4425911145058565,-0.2135146686527758,False,True,False
2025-05-27,1.3121851758238148,1.4358581117916023,-0.23539699453795082,False,True,False
2025-05-28,1.3109325650321149,1.4299092845493822,-0.21400427123189636,False,True,False
2025-05-29,1.3418208400737035,1.426145087199715,-0.14406823803820434,False,True,False
2025-05-30,1.312704148599902,1.422529355977333,-0.14182600848747395,False,True,False
2025-06-03,1.3098394828181104,1.4185594934784804,-0.15386753502908201,False,True,False
2025-06-04,1.3438630557879334,1.4145069473589247,-0.153213826639508,False,True,False
2025-06-05,1.4019262208297067,1.4107831125337285,-0.13746529797200557,False,True,False
2025-06-06,1.413169282945294,1.4075363582344518,-0.1211494666124141,False,False,True
2025-06-09,1.4295157665339537,1.4044503892523312,-0.1146721565890122,False,False,True
2025-06-10,1.4118792965832296,1.4009771592506965,-0.12861646627653245,False,False,True
2025-06-11,1.4091437725149096,1.3972604791581602,-0.13663054642883932,False,False,True
2025-06-12,1.4187512516173342,1.3942297589220765,-0.11360979814217231,False,False,True
2025-06-13,1.3982423056656081,1.3900263500361127,-0.1528098495663297,False,False,True
2025-06-16,1.4282074005273053,1.3861671089761363,-0.13951065427119347,False,False,True
2025-06-17,1.4168269080002636,1.3821047179165393,-0.14678297755275527,False,False,True
2025-06-18,1.4487203581958368,1.3793970490753376,-0.10083298029907561,False,False,True
2025-06-19,1.4417872059244106,1.3769247021875952,-0.09328859782006449,False,False,True
