strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
macd_zero_hold_10,300757,罗博特科,CPO,11,36.36,-8.76,-41.64,-0.21,0.48,10.0,432.93,-441.69
kdj_any_hold_10,300757,罗博特科,CPO,18,44.44,25.86,-51.24,0.5,2.85,10.0,432.93,-407.07
random_same_freq_hold_10,300757,罗博特科,CPO,4,25.0,-17.7,-21.85,-0.81,-3.46,10.0,432.93,-450.63
v1_tianma_exit,002463,沪电股份,PCB,4,0.0,-18.17,-21.37,-0.85,-4.64,9.8,327.12,-345.29
tianma_hold_10,002463,沪电股份,PCB,4,25.0,-5.7,-15.53,-0.37,-1.17,10.0,327.12,-332.82
tianma_hold_20,002463,沪电股份,PCB,3,0.0,-31.38,-38.54,-0.81,-11.03,20.0,327.12,-358.5
macd_zero_hold_10,002463,沪电股份,PCB,18,44.44,6.51,-38.69,0.17,1.35,10.0,327.12,-320.61
kdj_any_hold_10,002463,沪电股份,PCB,18,27.78,-35.76,-45.4,-0.79,-1.89,10.0,327.12,-362.88
random_same_freq_hold_10,002463,沪电股份,PCB,4,50.0,24.95,-10.11,2.47,6.54,10.0,327.12,-302.17
v1_tianma_exit,300476,胜宏科技,PCB,2,50.0,57.83,-15.63,3.7,29.48,16.5,744.99,-687.16
tianma_hold_10,300476,胜宏科技,PCB,2,100.0,53.46,-15.63,3.42,26.02,10.0,744.99,-691.53
tianma_hold_20,300476,胜宏科技,PCB,2,100.0,62.97,-15.63,4.03,30.96,20.0,744.99,-682.02
macd_zero_hold_10,300476,胜宏科技,PCB,16,56.25,19.42,-51.65,0.38,2.84,10.0,744.99,-725.57
kdj_any_hold_10,300476,胜宏科技,PCB,15,53.33,35.1,-46.9,0.75,3.46,10.0,744.99,-709.89
random_same_freq_hold_10,300476,胜宏科技,PCB,2,100.0,10.88,-5.11,2.13,5.58,10.0,744.99,-734.11
v1_tianma_exit,001389,广合科技,PCB,4,50.0,3.67,-31.52,0.12,2.89,12.2,401.47,-397.8
tianma_hold_10,001389,广合科技,PCB,4,50.0,10.49,-27.9,0.38,3.62,10.0,401.47,-390.98
tianma_hold_20,001389,广合科技,PCB,4,50.0,29.95,-23.64,1.27,8.34,20.0,401.47,-371.52
macd_zero_hold_10,001389,广合科技,PCB,16,75.0,108.06,-20.3,5.32,5.5,10.0,401.47,-293.41
kdj_any_hold_10,001389,广合科技,PCB,19,63.16,64.95,-28.15,2.31,3.57,10.0,401.47,-336.52
